Disease Name,Disease Definition
10q26 deletion syndrome,"10q26 deletion syndrome is a condition that results from the loss (deletion) of a small piece of chromosome 10 in each cell. The deletion occurs on the long (q) arm of the chromosome at a position designated 10q26.The signs and symptoms of 10q26 deletion syndrome vary widely, even among affected members of the same family. Among the more common features associated with this chromosomal change are distinctive facial features, mild to moderate intellectual disability, growth problems, and developmental delay. People with 10q26 deletion syndrome often have delayed development of speech and of motor skills such as sitting, crawling, and walking. Some have limited speech throughout life. Affected individuals may experience seizures, attention-deficit/hyperactivity disorder (ADHD), poor impulse control (impulsivity), or exhibit autistic behaviors that affect communication and social interaction.A range of facial features is seen in people with 10q26 deletion syndrome, but not all affected individuals have these features. Facial features of people with 10q26 deletion syndrome may include a prominent or beaked nose, a broad nasal bridge, a small jaw (micrognathia), malformed ears that are low set, a thin upper lip, and an unusually small head size (microcephaly). Many affected individuals have widely spaced eyes (hypertelorism) that do not look in the same direction (strabismus). Some people with this condition have a short neck with extra folds of skin (webbed neck).Less common signs and symptoms can occur in 10q26 deletion syndrome. Skeletal problems include a spine that curves to the side (scoliosis), limited movement in the elbows or other joints, or curved fifth fingers and toes (clinodactyly). Slow growth before and after birth can also occur in affected individuals. Males with this condition may have genital abnormalities, such as a small penis (micropenis), undescended testes (cryptorchidism), or the urethra opening on the underside of the penis (hypospadias). Some people with 10q26 deletion syndrome have kidney abnormalities, heart defects, breathing problems, recurrent infections, or hearing or vision problems."
15q11-q13 duplication syndrome,"15q11-q13 duplication syndrome (dup15q syndrome) is a developmental disorder; its signs and symptoms vary among affected individuals.Poor muscle tone (hypotonia) is common in individuals with dup15q syndrome and contributes to delayed development and impairment of motor skills, including sitting and walking. Most affected children develop the ability to walk independently after age 2 or 3, and they typically have a wide-based or uncoordinated (ataxic) pattern of walking (gait). Babies with dup15q syndrome often have trouble feeding due to weak facial muscles that impair sucking and swallowing.Intellectual disability also occurs in people with dup15q syndrome and can range from mild to profound; however, it is usually in the moderate to severe range. Speech and language development are particularly affected, with some individuals never developing functional speech. Most individuals with this disorder have autism spectrum disorder (ASD), and many have language problems associated with ASD such as repeating the words of others (echolalia) or repeating particular phrases (stereotypical utterances).Behavioral difficulties are also associated with dup15q syndrome, including other features of ASD such as difficulty with changes in routine and problems with social interaction. Affected individuals may also experience hyperactivity, anxiety, and frustration leading to tantrums. Mood disorders and psychosis occur in some affected individuals.More than half of people with dup15q syndrome have recurrent seizures (epilepsy). The seizures usually develop between the ages of 6 months and 9 years. Some people with dup15q syndrome have only focal seizures, which affect one part of the brain and usually do not cause a loss of consciousness. In other affected individuals, seizures begin with a type called infantile spasms (seizures that usually appear before the age of 1 and involve recurrent muscle contractions) and later include other types of seizures. In addition to focal seizures, these can include rapid uncontrolled muscle jerks (myotonic seizures); tonic-clonic (also called grand mal) seizures, which involve rigidity, convulsions, and loss of consciousness; and absence (also known as petit mal) seizures, which are brief episodes of impaired consciousness that look like staring spells. Affected individuals may develop complex, difficult-to-treat (intractable) seizure patterns such as Lennox-Gastaut syndrome. Seizures can lead to falls, loss of developmental milestones (developmental regression), and in a small minority of cases, sudden death during sleep (called sudden unexpected death in epilepsy, or SUDEP).Hearing loss in childhood is common in dup15q syndrome and usually results from ear infections that cause fluid buildup in the middle ear. This hearing loss is often temporary. However, if ear infections are left untreated during early childhood, the hearing loss can interfere with language development and worsen the speech problems associated with dup15q syndrome.About 30 percent of individuals with dup15q syndrome are born with eyes that do not look in the same direction (strabismus). Other unusual facial features that can occur in this condition include a low forehead; outside corners of the eyes that point downward (downslanting palpebral fissures); a flattened nasal bridge with a short, upturned nose; nostrils that open to the front rather than downward (anteverted nares); a long space between the nose and the upper lip (philtrum); a small lower jaw (micrognathia); a high-arched roof of the mouth (palate); full lips; low-set ears; and a flat back of the head (occiput). These features are typically subtle and may not be noticed during infancy.Other problems associated with dup15q syndrome in some affected individuals include a reduced ability to feel pain; a spine that curves to the side (scoliosis); recurrent respiratory infections in childhood; a skin condition called eczema; early (precocious) puberty and, in females, menstrual irregularities; minor genital abnormalities in males such as undescended testes (cryptorchidism); overeating; and excessive weight gain."
15q13.3 microdeletion,"15q13.3 microdeletion is a chromosomal change in which a small piece of chromosome 15 is deleted in each cell. The deletion occurs on the long (q) arm of the chromosome at a position designated q13.3. This chromosomal change increases the risk of intellectual disability, seizures, behavioral problems, and psychiatric disorders. However, some people with a 15q13.3 microdeletion do not appear to have any associated features.About half of all people with a 15q13.3 microdeletion have learning difficulties or intellectual disability, which is usually mild or moderate. Many of these individuals have delayed speech and language skills. 15q13.3 microdeletion also appears to be a major risk factor for recurrent seizures (epilepsy); about one-third of people with this chromosomal change have epilepsy.15q13.3 microdeletion has also been associated with behavioral problems, including a short attention span, aggression, impulsive behavior, and hyperactivity. Some people with a 15q13.3 microdeletion have been diagnosed with developmental disorders that affect communication and social interaction (autism spectrum disorders). This chromosomal change may also be associated with an increased risk of psychiatric disorders, particularly schizophrenia. Other signs and symptoms of 15q13.3 microdeletion can include heart defects, minor abnormalities involving the hands and arms, and subtle differences in facial features.Some people with a 15q13.3 microdeletion do not have any of the intellectual, behavioral, or physical features described above. In these individuals, the microdeletion is often detected when they undergo genetic testing because they have an affected relative. It is unknown why a 15q13.3 microdeletion causes cognitive and behavioral problems in some individuals but few or no health problems in others."
15q24 microdeletion,"15q24 microdeletion is a chromosomal change in which a small piece of chromosome 15 is deleted in each cell. The deletion occurs on the long (q) arm of the chromosome at a position designated q24.15q24 microdeletion is associated with mild to moderate intellectual disability and delayed speech development. Other common signs and symptoms include short stature, weak muscle tone (hypotonia), and skeletal abnormalities including loose (lax) joints. Affected males may have genital abnormalities, which can include an unusually small penis (micropenis) and the opening of the urethra on the underside of the penis (hypospadias). Affected individuals also have distinctive facial features such as a high front hairline, broad eyebrows, widely set eyes (hypertelorism), outside corners of the eyes that point downward (downslanting palpebral fissures), a broad nasal bridge, a full lower lip, and a long, smooth space between the upper lip and nose (philtrum)."
16p11.2 deletion syndrome,"16p11.2 deletion syndrome is a disorder caused by a deletion of a small piece of chromosome 16. The deletion occurs near the middle of the chromosome at a location designated p11.2.People with 16p11.2 deletion syndrome usually have developmental delay and intellectual disability. Most also have at least some features of autism spectrum disorders. These disorders are characterized by impaired communication and socialization skills, as well as delayed development of speech and language. In 16p11.2 deletion syndrome, expressive language skills (vocabulary and the production of speech) are generally more severely affected than receptive language skills (the ability to understand speech). Some people with this disorder have recurrent seizures (epilepsy).Some affected individuals have minor physical abnormalities such as low-set ears or partially webbed toes (partial syndactyly). People with this disorder are also at increased risk of obesity compared with the general population. However, there is no particular pattern of physical abnormalities that characterizes 16p11.2 deletion syndrome. Signs and symptoms of the disorder vary even among affected members of the same family. Some people with the deletion have no identified physical, intellectual, or behavioral abnormalities."
16p11.2 duplication,"16p11.2 duplication is a chromosomal change in which a small amount of genetic material within chromosome 16 is abnormally copied (duplicated). The duplication occurs near the middle of the chromosome at a location designated p11.2. This duplication can have a variety of effects. Common characteristics that occur in people with a 16p11.2 duplication include a low weight; a small head size (microcephaly); and developmental delay, especially in speech and language. Affected individuals also have an increased risk of behavioral problems. However, some people with the duplication have no identified physical or behavioral abnormalities.Developmental delay and intellectual disability can occur in people with a 16p11.2 duplication. Approximately one-third of children with this condition have delays in developing physical skills such as sitting, crawling, or walking. The average IQ of affected individuals is about 26 points lower than that of their parents without the duplication. About 80 percent of people with a 16p11.2 duplication have problems related to speech or language. Both expressive language skills (vocabulary and the production of speech) and receptive language skills (the ability to understand speech) can be affected.One of the most common behavioral problems associated with this chromosomal change is attention-deficit/hyperactivity disorder (ADHD). Autism spectrum disorder, which affects communication and social skills, is diagnosed in about one in five people with a 16p11.2 duplication. Affected individuals also have an increased risk of mental health problems, including schizophrenia, anxiety, and depression. Recurrent seizures are possible in this condition, although they do not occur in most affected individuals.Other abnormalities that can occur with a 16p11.2 duplication include malformations of the kidneys and urinary tract. However, there is no particular pattern of physical abnormalities that characterizes 16p11.2 duplications; signs and symptoms related to the chromosomal change vary even among affected members of the same family."
16p12.2 microdeletion,"16p12.2 microdeletion is a chromosomal change in which a small amount of genetic material on chromosome 16 is deleted. The deletion occurs on the short (p) arm of the chromosome at a location designated p12.2. Common characteristics that have been described in people with a 16p12.2 microdeletion include developmental delay, delayed speech, intellectual disability that ranges from mild to profound, weak muscle tone (hypotonia), slow growth resulting in short stature, an usually small head (microcephaly), malformations of the heart, recurrent seizures (epilepsy), and psychiatric and behavioral problems.Less common features that can occur in people with a 16p12.2 microdeletion can include hearing loss, an opening in the lip (cleft lip) with or without an opening in the roof of the mouth (cleft palate), dental abnormalities, malformed kidneys, and genital abnormalities in males. However, there is no particular pattern of physical abnormalities that characterizes individuals with a 16p12.2 microdeletion. Signs and symptoms related to the chromosomal change vary even among affected members of the same family, and some people with the deletion have no identified physical or behavioral abnormalities."
"17 alpha-hydroxylase/17,20-lyase deficiency","17 alpha(α)-hydroxylase/17,20-lyase deficiency is a condition that affects the function of certain hormone-producing glands called the gonads (ovaries in females and testes in males) and the adrenal glands. The gonads direct sexual development before birth and during puberty and are important for reproduction. The adrenal glands, which are located on top of the kidneys, regulate the production of certain hormones, including those that control salt levels in the body. People with 17α-hydroxylase/17,20-lyase deficiency have an imbalance of many of the hormones that are made in these glands. 17α-hydroxylase/17,20-lyase deficiency is one of a group of disorders, known as congenital adrenal hyperplasias, that impair hormone production and disrupt sexual development and maturation.Hormone imbalances lead to the characteristic signs and symptoms of 17α-hydroxylase/17,20-lyase deficiency, which include high blood pressure (hypertension), low levels of potassium in the blood (hypokalemia), and abnormal sexual development. The severity of the features varies. Two forms of the condition are recognized: complete 17α-hydroxylase/17,20-lyase deficiency, which is more severe, and partial 17α-hydroxylase/17,20-lyase deficiency, which is typically less so.Males and females are affected by disruptions to sexual development differently. Females (who have two X chromosomes) with 17α-hydroxylase/17,20-lyase deficiency are born with normal external female genitalia; however, the internal reproductive organs, including the uterus and ovaries, may be underdeveloped. Women with complete 17α-hydroxylase/17,20-lyase deficiency do not develop secondary sex characteristics, such as breasts and pubic hair, and do not menstruate (amenorrhea). Women with partial 17α-hydroxylase/17,20-lyase deficiency may develop some secondary sex characteristics; menstruation is typically irregular or absent. Either form of the disorder results in an inability to conceive a baby (infertility).In affected individuals who are chromosomally male (having an X and a Y chromosome), problems with sexual development lead to abnormalities of the external genitalia. The most severely affected are born with characteristically female external genitalia and are generally raised as females. However, because they do not have female internal reproductive organs, these individuals have amenorrhea and do not develop female secondary sex characteristics. These individuals have testes, but they are abnormally located in the abdomen (undescended). Sometimes, complete 17α-hydroxylase/17,20-lyase deficiency leads to external genitalia that do not look clearly male or clearly female (ambiguous genitalia). Males with partial 17α-hydroxylase/17,20-lyase deficiency usually have abnormal male genitalia, such as a small penis (micropenis), the opening of the urethra on the underside of the penis (hypospadias), or a scrotum divided into two lobes (bifid scrotum). Males with either complete or partial 17α-hydroxylase/17,20-lyase deficiency are also infertile."
17-beta hydroxysteroid dehydrogenase 3 deficiency,"17-beta hydroxysteroid dehydrogenase 3 deficiency is a condition that affects male sexual development. People with this condition are genetically male, with one X and one Y chromosome in each cell, and they have male gonads (testes). Their bodies, however, do not produce enough of a male sex hormone (androgen) called testosterone. Testosterone has a critical role in male sexual development, and a shortage of this hormone disrupts the formation of the external sex organs before birth.Most people with 17-beta hydroxysteroid dehydrogenase 3 deficiency are born with external genitalia that appear female. In some cases, the external genitalia do not look clearly male or clearly female (sometimes called ambiguous genitalia). Still other affected infants have genitalia that appear predominantly male, often with an unusually small penis (micropenis) or the urethra opening on the underside of the penis (hypospadias).During puberty, people with this condition develop some male secondary sex characteristics, such as increased muscle mass, deepening of the voice, and development of male pattern facial and body hair. In addition to these changes typical of adolescent boys, some affected individuals may also experience breast enlargement (gynecomastia). Despite having testes, people with this disorder are generally unable to father children (infertile).Children with 17-beta hydroxysteroid dehydrogenase 3 deficiency are often raised as girls. About half of these individuals adopt a male gender role in adolescence or early adulthood."
17q12 deletion syndrome,"17q12 deletion syndrome is a condition that results from the deletion of a small piece of chromosome 17 in each cell. The deletion occurs on the long (q) arm of the chromosome at a position designated q12.The signs and symptoms of 17q12 deletion syndrome vary widely, even among affected members of the same family. Among the more common features associated with this chromosomal change are problems with development or function of the kidneys and urinary system. These abnormalities range from very severe malformations, leading to kidney failure before birth, to mild or no problems with kidney and urinary tract function. Fluid-filled sacs (cysts) in the kidneys are particularly common. Many affected individuals also develop a form of diabetes called maturity-onset diabetes of the young type 5 (MODY5), which is caused by a malfunction of certain cells in the pancreas. MODY5 usually appears in adolescence or early adulthood, most often before age 25. The combination of kidney cysts and MODY5 is sometimes referred to as renal cysts and diabetes (RCAD) syndrome.About half of people with 17q12 deletion syndrome have delayed development (particularly speech and language delays), intellectual disability, or behavioral or psychiatric disorders. Neurodevelopmental and psychiatric conditions that have been reported in people with 17q12 deletion syndrome include autism spectrum disorder (which affects social interaction and communication), schizophrenia, anxiety, and bipolar disorder.Less commonly, 17q12 deletion syndrome also causes abnormalities of the eyes, liver, brain, genitalia, and other body systems. Some females with this chromosomal change have Mayer-Rokitansky-Küster-Hauser syndrome, which is characterized by underdevelopment or absence of the vagina and uterus. 17q12 deletion syndrome is also sometimes associated with subtle differences in facial features."
